bootstrap_id,unweighted_mae_difference,weighted_mae_difference
1203,-2.3918,-2.4906
1204,-1.49,-1.7293
1205,-2.0949,-1.8957
1206,-1.0893,-1.2191
1207,-1.2982,-1.2338
1208,-1.0581,-1.1226
1209,-1.1005,-1.2289
1210,-0.6367,-0.7727
1211,-2.2739,-2.1246
1212,-1.3887,-1.1649
1213,-1.4428,-1.9917
1214,-2.5073,-3.0896
1215,-1.2376,-1.4741
1216,-2.8031,-2.5796
1217,-1.86,-1.3524
1218,-2.879,-2.6393
1219,-1.661,-2.0524
1220,-1.1005,-1.1946
1221,-2.2835,-2.5155
1222,-1.31,-1.6771
1223,-1.88,-2.04
1224,-1.3452,-1.3251
1225,-0.8056,-0.9385
1226,-2.0015,-1.9157
1227,-2.4074,-2.1768
1228,-1.9114,-1.9616
1229,-1.0304,-0.7862
1230,-1.3436,-1.1315
1231,-2.5435,-2.5433
1232,-1.2113,-0.9719
1233,-2.0359,-2.0499
1234,-1.021,-1.1678
1235,-1.002,-0.7965
1236,-1.983,-1.9865
1237,-2.0825,-1.8249
1238,-1.9882,-1.7613
1239,-1.2756,-1.2296
1240,-2.1797,-2.0441
1241,-1.7901,-2.0634
1242,-2.3991,-1.7483
1243,-1.8271,-1.682
1244,-1.6481,-1.4731
1245,-1.9509,-1.8734
1246,-1.6692,-1.8096
1247,-1.0824,-0.9445
1248,-0.9324,-0.92
1249,-1.7536,-2.0779
1250,-1.5692,-1.734
1251,-1.0633,-1.1483
1252,-1.9885,-2.2954
1253,-1.6871,-1.6422
1254,-1.2593,-1.2345
1255,-1.6939,-1.1385
1256,-1.533,-1.4905
1257,-1.3883,-1.2884
1258,-1.2028,-1.1427
1259,-1.7132,-1.7055
1260,-2.1496,-1.7076
1261,-1.2535,-1.3382
1262,-1.4692,-1.5299
1263,-1.1782,-1.089
1264,-1.1315,-1.1004
1265,-1.3421,-1.0532
1266,-1.7661,-2.0554
1267,-1.0926,-1.0456
1268,-2.1616,-2.2852
1269,-1.8325,-2.0043
1270,-1.6591,-1.5346
1271,-1.6662,-2.156
1272,-1.2938,-1.216
1273,-1.9371,-1.8412
1274,-1.9559,-1.9996
1275,-2.0574,-1.5685
1276,-1.4718,-1.0613
1277,-1.3769,-1.238
1278,-0.9827,-0.8529
1279,-0.505,-0.308
1280,-2.2391,-2.1268
1281,-1.8155,-1.6535
1282,-2.1719,-2.4415
1283,-1.5194,-1.7156
1284,-1.2727,-1.2443
1285,-2.0237,-2.3375
1286,-1.5629,-1.2762
1287,-0.4103,-0.6042
1288,-1.937,-1.656
1289,-1.1531,-1.1736
1290,-1.2872,-0.9457
1291,-1.0559,-1.2609
1292,-2.1601,-2.3561
1293,-1.9435,-2.1232
1294,-2.5341,-2.4754
1295,-2.0797,-1.8932
1296,-1.0881,-1.3503
1297,-1.8087,-1.3713
1298,-2.5992,-2.6823
1299,-1.5981,-1.5087
1300,-2.8163,-2.3452
1301,-0.6163,-1.0307
1302,-1.4644,-1.4457
1303,-1.5936,-1.7036
1304,-1.6317,-1.1083
1305,-2.2984,-2.3112
1306,-0.556,-0.4884
1307,-0.9533,-1.3892
1308,-1.8374,-1.2862
1309,-2.0851,-2.4871
1310,-1.3453,-1.4004
1311,-1.7218,-1.5385
1312,-2.4631,-2.3688
1313,-1.7819,-2.0166
1314,-1.3171,-1.7796
1315,-1.6221,-1.879
1316,-1.3711,-1.5657
1317,-1.4394,-1.2273
1318,-1.1579,-1.2252
1319,-1.1514,-0.9374
1320,-1.5203,-1.1881
1321,-0.6055,-0.4568
1322,-1.028,-0.8362
1323,-2.4393,-2.708
1324,-1.8787,-2.0302
1325,-1.0992,-1.1592
1326,-1.5682,-1.8494
1327,-2.2019,-1.9933
1328,-2.1591,-2.3046
1329,-1.4382,-1.4731
1330,-1.9047,-1.2206
1331,-2.7426,-3.0433
