feature_a,feature_b,audit_year,spearman_rho,abs_spearman_rho,p_value
foot_surveillance,all_eight_care_processes,2021_22,0.744,0.744,0.0
foot_surveillance,hba1c_le_48_mmol_mol_6_5pct,2018_19,0.098,0.098,0.537
foot_surveillance,hba1c_le_48_mmol_mol_6_5pct,2019_20,-0.019,0.019,0.905
foot_surveillance,hba1c_le_48_mmol_mol_6_5pct,2020_21,-0.135,0.135,0.393
foot_surveillance,hba1c_le_48_mmol_mol_6_5pct,2021_22,0.154,0.154,0.331
foot_surveillance,hba1c_le_53_mmol_mol_7_0pct,2018_19,0.086,0.086,0.586
foot_surveillance,hba1c_le_53_mmol_mol_7_0pct,2019_20,-0.038,0.038,0.809
foot_surveillance,hba1c_le_53_mmol_mol_7_0pct,2020_21,-0.12,0.12,0.451
foot_surveillance,hba1c_le_53_mmol_mol_7_0pct,2021_22,0.147,0.147,0.352
foot_surveillance,hba1c_le_58_mmol_mol_7_5pct,2018_19,0.171,0.171,0.279
foot_surveillance,hba1c_le_58_mmol_mol_7_5pct,2019_20,0.056,0.056,0.723
foot_surveillance,hba1c_le_58_mmol_mol_7_5pct,2020_21,-0.094,0.094,0.553
foot_surveillance,hba1c_le_58_mmol_mol_7_5pct,2021_22,0.209,0.209,0.184
foot_surveillance,hba1c_le_75_mmol_mol_9_0pct,2018_19,0.179,0.179,0.257
foot_surveillance,hba1c_le_75_mmol_mol_9_0pct,2019_20,0.155,0.155,0.327
foot_surveillance,hba1c_le_75_mmol_mol_9_0pct,2020_21,0.015,0.015,0.924
foot_surveillance,hba1c_le_75_mmol_mol_9_0pct,2021_22,0.314,0.314,0.043
foot_surveillance,hba1c_le_86_mmol_mol_10_0pct,2018_19,0.105,0.105,0.508
foot_surveillance,hba1c_le_86_mmol_mol_10_0pct,2019_20,0.114,0.114,0.472
foot_surveillance,hba1c_le_86_mmol_mol_10_0pct,2020_21,0.032,0.032,0.84
foot_surveillance,hba1c_le_86_mmol_mol_10_0pct,2021_22,0.348,0.348,0.024
foot_surveillance,blood_pressure_le_140_80,2018_19,0.374,0.374,0.015
foot_surveillance,blood_pressure_le_140_80,2019_20,0.237,0.237,0.131
foot_surveillance,blood_pressure_le_140_80,2020_21,-0.062,0.062,0.695
foot_surveillance,blood_pressure_le_140_80,2021_22,0.175,0.175,0.267
foot_surveillance,primary_prevention_on_statins_without_cvd_history,2018_19,0.38,0.38,0.013
foot_surveillance,primary_prevention_on_statins_without_cvd_history,2019_20,0.401,0.401,0.009
foot_surveillance,primary_prevention_on_statins_without_cvd_history,2020_21,0.198,0.198,0.208
