feature_a,feature_b,audit_year,spearman_rho,abs_spearman_rho,p_value
blood_pressure_le_140_80,primary_prevention_on_statins_without_cvd_history,2020_21,0.478,0.478,0.001
blood_pressure_le_140_80,primary_prevention_on_statins_without_cvd_history,2021_22,0.485,0.485,0.001
blood_pressure_le_140_80,secondary_prevention_on_statins_with_cvd_history,2018_19,0.317,0.317,0.041
blood_pressure_le_140_80,secondary_prevention_on_statins_with_cvd_history,2019_20,0.238,0.238,0.129
blood_pressure_le_140_80,secondary_prevention_on_statins_with_cvd_history,2020_21,0.448,0.448,0.003
blood_pressure_le_140_80,secondary_prevention_on_statins_with_cvd_history,2021_22,0.342,0.342,0.027
blood_pressure_le_140_80,combined_prevention_on_statins,2018_19,0.291,0.291,0.062
blood_pressure_le_140_80,combined_prevention_on_statins,2019_20,0.246,0.246,0.116
blood_pressure_le_140_80,combined_prevention_on_statins,2020_21,0.526,0.526,0.0
blood_pressure_le_140_80,combined_prevention_on_statins,2021_22,0.495,0.495,0.001
blood_pressure_le_140_80,all_three_treatment_targets,2018_19,0.765,0.765,0.0
blood_pressure_le_140_80,all_three_treatment_targets,2019_20,0.76,0.76,0.0
blood_pressure_le_140_80,all_three_treatment_targets,2020_21,0.803,0.803,0.0
blood_pressure_le_140_80,all_three_treatment_targets,2021_22,0.836,0.836,0.0
primary_prevention_on_statins_without_cvd_history,secondary_prevention_on_statins_with_cvd_history,2018_19,0.686,0.686,0.0
primary_prevention_on_statins_without_cvd_history,secondary_prevention_on_statins_with_cvd_history,2019_20,0.687,0.687,0.0
primary_prevention_on_statins_without_cvd_history,secondary_prevention_on_statins_with_cvd_history,2020_21,0.669,0.669,0.0
primary_prevention_on_statins_without_cvd_history,secondary_prevention_on_statins_with_cvd_history,2021_22,0.653,0.653,0.0
primary_prevention_on_statins_without_cvd_history,combined_prevention_on_statins,2018_19,0.982,0.982,0.0
primary_prevention_on_statins_without_cvd_history,combined_prevention_on_statins,2019_20,0.97,0.97,0.0
primary_prevention_on_statins_without_cvd_history,combined_prevention_on_statins,2020_21,0.977,0.977,0.0
primary_prevention_on_statins_without_cvd_history,combined_prevention_on_statins,2021_22,0.967,0.967,0.0
primary_prevention_on_statins_without_cvd_history,all_three_treatment_targets,2018_19,0.137,0.137,0.386
primary_prevention_on_statins_without_cvd_history,all_three_treatment_targets,2019_20,0.214,0.214,0.173
primary_prevention_on_statins_without_cvd_history,all_three_treatment_targets,2020_21,0.44,0.44,0.004
primary_prevention_on_statins_without_cvd_history,all_three_treatment_targets,2021_22,0.61,0.61,0.0
secondary_prevention_on_statins_with_cvd_history,combined_prevention_on_statins,2018_19,0.727,0.727,0.0
secondary_prevention_on_statins_with_cvd_history,combined_prevention_on_statins,2019_20,0.746,0.746,0.0
secondary_prevention_on_statins_with_cvd_history,combined_prevention_on_statins,2020_21,0.702,0.702,0.0
secondary_prevention_on_statins_with_cvd_history,combined_prevention_on_statins,2021_22,0.707,0.707,0.0
secondary_prevention_on_statins_with_cvd_history,all_three_treatment_targets,2018_19,0.348,0.348,0.024
secondary_prevention_on_statins_with_cvd_history,all_three_treatment_targets,2019_20,0.385,0.385,0.012
secondary_prevention_on_statins_with_cvd_history,all_three_treatment_targets,2020_21,0.491,0.491,0.001
secondary_prevention_on_statins_with_cvd_history,all_three_treatment_targets,2021_22,0.522,0.522,0.0
combined_prevention_on_statins,all_three_treatment_targets,2018_19,0.151,0.151,0.34
combined_prevention_on_statins,all_three_treatment_targets,2019_20,0.233,0.233,0.138
combined_prevention_on_statins,all_three_treatment_targets,2020_21,0.465,0.465,0.002
combined_prevention_on_statins,all_three_treatment_targets,2021_22,0.605,0.605,0.0
