icb_code,predictor_period,target_year,hba1c,blood_pressure,cholesterol,serum_creatinine,urine_albumin,foot_surveillance,bmi,smoking,all_eight_care_processes,hba1c_le_48_mmol_mol_6_5pct,hba1c_le_53_mmol_mol_7_0pct,hba1c_le_58_mmol_mol_7_5pct,hba1c_le_75_mmol_mol_9_0pct,hba1c_le_86_mmol_mol_10_0pct,blood_pressure_le_140_80,all_three_treatment_targets,primary_prevention_on_statins_without_cvd_history,secondary_prevention_on_statins_with_cvd_history,combined_prevention_on_statins
QOQ,2019_20,2021,95.40156812884084,95.78763312668892,90.64801568378104,95.18889418746356,67.52503576537912,85.32294812695385,89.77375086101839,95.07232554442857,59.837889383343935,34.107450413911884,53.02516806489249,66.45924773598533,88.20490027223734,93.8218789932774,73.85868958589128,40.544274900877085,70.78843851547802,83.486777668952,74.63690476190476
QOX,2019_20,2021,94.67208947635994,94.89474219465066,89.47421946506662,94.85406284958812,70.82273975388996,83.13841147157531,89.26065290348826,94.26421234618122,62.34875444839858,28.488559458588465,48.70555376517349,63.39026748308088,86.64733054033731,92.91008701256848,71.62584960621426,37.70260747004933,71.68155461526406,83.64969801553063,74.85917921600183
QPM,2019_20,2021,93.94307297990018,94.7638326585695,89.46018893387314,90.71524966261808,66.43724696356276,81.34952766531714,83.21187584345479,93.14439946018894,51.35572642654795,33.03173919287664,50.99813298865432,64.59859256067787,86.85911245152951,92.91971851213556,73.92800803097663,40.53588216859919,69.19770773638967,84.9100406268137,73.29399303979423
QR1,2019_20,2021,94.32333577176298,94.48346502780215,89.17178811823237,94.65905765291193,70.33947907521217,83.7430494585894,89.55223880597015,95.40532630962832,62.32626188734455,33.13673754462207,50.89244140928139,63.96088778519323,85.75197889182058,91.96026695638676,73.03775654081153,38.0984952120383,67.23087339201084,81.65079365079364,71.01232101232101
QRL,2019_20,2021,92.40004345936548,94.30527631364453,89.5777862305059,68.67358582839755,70.22768026952127,81.68776829864696,88.43666793457588,94.13682551757866,44.55671447196871,31.1557492931197,50.70098963242224,65.11545711592836,86.82257304429784,92.91941564561736,74.40865189983228,40.25718991511466,70.27707808564232,83.74743560519717,73.89863786967726
QRV,2019_20,2021,94.16320611693362,95.1999472521676,92.20321102429698,93.26476115122144,69.08977021725514,86.56248969768899,86.07457224804668,96.63073220584842,61.31105398457584,28.90603085553997,50.56100981767181,65.90813464235625,87.51753155680224,92.99438990182328,74.74340561179808,41.63011967590872,74.48530115867088,90.32100374775948,78.08614564831261
QSL,2019_20,2021,95.47538978905531,96.14737807674668,91.83611068643938,95.81103806757376,74.94266931661825,82.66320134536004,90.750649747745,94.48096621311726,66.75328645674105,24.145676239371088,43.84726455960212,58.142146638857696,83.84405583186266,91.33643510348148,71.59706726171503,32.53482840638804,70.83434687423984,83.24324324324324,74.42424242424242
QT1,2019_20,2021,96.0259379342288,96.09896219421796,91.66048925129726,95.69125277983692,67.4666419570052,85.33172720533729,89.12157153446998,96.0063009636768,59.5275590551181,31.50328058664608,50.038595137012734,63.537244307217286,86.30837514473177,92.63797761482051,71.35087889676605,37.18853820598007,71.43896406227266,86.01834862385321,75.5782454678058
QT6,2019_20,2021,94.60532847923216,95.13245033112582,91.49006622516556,95.2980132450331,64.7019867549669,79.32119205298012,86.42384105960265,93.22847682119205,54.211484362071815,29.74628171478565,48.08398950131234,61.69728783902012,85.61679790026247,92.14348206474192,73.40574632095304,34.924528301886795,66.98735568993953,80.67796610169492,71.48141298316997
QU9,2019_20,2021,94.46791655664114,95.52899220710609,91.29573372077664,62.21767269845463,78.85352001056664,85.47087570994584,89.18240655131423,95.5422005019152,45.31951412727753,34.813673297842534,52.17147660409079,65.50154104791258,87.33538806388344,93.40851779209862,74.02615470228157,40.00893056485823,71.68650793650794,86.51234567901234,75.29093775808995
QUA,2019_20,2021,93.26069410815172,94.89857705116562,90.6398223836916,93.72287819154305,71.91442123322233,84.37279241093954,90.11504692703602,96.85639317791906,64.62873284907184,32.129412406568825,51.90681433793443,65.89011948278683,87.06967101314856,92.83103278956844,72.20647231880181,40.248793815032265,73.88635290413977,88.81031613976705,77.96745646588639
QUE,2019_20,2021,94.92391188677236,95.6989247311828,91.0891089108911,95.43276908335994,64.32449696582562,84.75460449270733,89.84350047908016,95.60310869796656,58.42290092582739,33.662256111235706,52.62390670553936,66.09105180533751,87.59811616954474,93.4402332361516,67.00302724520685,36.79154658981748,68.59967051070839,85.38461538461539,73.07088515879725
QUY,2019_20,2021,93.95915748957556,94.53534381349589,89.13485188749867,93.64773820981712,72.99754037001391,80.82558015185542,88.52529141268313,93.947171425516,62.71784454185823,29.186112692088788,47.55833807626637,61.570859419465,85.0085372794536,91.49686966420036,70.20070302755414,36.35022134776193,70.07094538854975,85.62472010747872,74.25850012056908
QVV,2019_20,2021,94.71784382144146,95.58044315992292,90.6912331406551,95.46001926782274,64.22206165703275,84.85067437379577,89.82418111753373,94.990366088632,57.81494405005414,27.391691017659763,47.808410621267946,62.83826705628256,86.81234912971668,93.11396264769408,71.10744221488443,36.52817770464829,71.83804369613149,83.66900175131349,75.55341674687199
QWE,2019_20,2021,93.41296451522771,94.885966139639,89.99580243458793,92.58430110535888,71.54750244857982,84.81880509304604,84.59493493773611,95.36868616202602,60.67337245040514,33.59849906191369,52.81801125703565,66.76923076923077,87.48217636022514,93.05065666041276,73.85809312638581,41.31410256410256,69.6883275616215,87.53424657534246,73.77924320929502
